experiment,memory_type,context_length,n_trajectories,target_return,mean_return,std_return,success_rate,model_path,trained
baseline,none,20,,500.0,97.0,95.85405573057407,0.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_none_best.pt,False
baseline,gru,20,,500.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_gru_best.pt,False
baseline,lstm,20,,500.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_lstm_best.pt,False
rtg_sweep,none,20,,300.0,177.8,110.64610250704722,0.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_none_best.pt,False
rtg_sweep,none,20,,400.0,148.4,135.86257762901454,0.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_none_best.pt,False
rtg_sweep,none,20,,500.0,100.4,30.936063097944448,0.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_none_best.pt,False
rtg_sweep,none,20,,600.0,49.2,34.26018096858217,0.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_none_best.pt,False
rtg_sweep,gru,20,,300.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_gru_best.pt,False
rtg_sweep,gru,20,,400.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_gru_best.pt,False
rtg_sweep,gru,20,,500.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_gru_best.pt,False
rtg_sweep,gru,20,,600.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_gru_best.pt,False
rtg_sweep,lstm,20,,300.0,305.4,1.4966629547095764,0.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_lstm_best.pt,False
rtg_sweep,lstm,20,,400.0,407.4,2.727636339397171,0.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_lstm_best.pt,False
rtg_sweep,lstm,20,,500.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_lstm_best.pt,False
rtg_sweep,lstm,20,,600.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_lstm_best.pt,False
context_sweep,none,5,,500.0,67.0,27.53179979587241,0.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_none_ctx5_best.pt,False
context_sweep,gru,5,,500.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_gru_ctx5_best.pt,False
context_sweep,lstm,5,,500.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_lstm_ctx5_best.pt,False
context_sweep,none,10,,500.0,397.6,127.8164308686485,0.6,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_none_ctx10_best.pt,False
context_sweep,gru,10,,500.0,500.0,0.0,1.0,/Users/pevcov.artem2/Code/AIM/RL/Decision-Transformer-with-Memory-for-POMDPs/models/memory_dt_velocity_cartpole_gru_ctx10_best.pt,False
